LMS Information Security Asssessment Tool Report for Unit Coordinators

Unit Coordinator,Jasmine Berry
Module code,"POL298 International Political Economy TMA, 2025"
Course Page URL,http://10.51.33.25/moodle/course/view.php?id=4

Link URL,Link Location,Risk Score,Risk Category,Detected on,Action to be taken
https://www.chathamhouse.org/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:54:51.310150,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
https://www.web.isanet.org/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:54:52.603144,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
https://theconversation.com/au/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:54:55.234677,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
https://www.unctad.org/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:54:59.306691,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
http://www.ony.unu.edu/events-forums/new/ET/2009/emerging-thinking-series-expla.php,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:54:59.709447,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
http://www.ony.unu.edu/events-forums/new/ET/2009/emerging-thinking-/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:54:59.725093,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
http://www.garnautreview.org.au/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:55:24.928626,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
http://www.web.isanet.org/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:55:28.006847,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
https://www.vitalsource.com/en-au/products/global-political-economy-erin-/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:54:54.702781,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
http://comment.rsablogs.org.uk/2010/06/28/rsa-animate-crisis-capitalism/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:54:59.417709,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
http://cse.375digital.co.uk/downloads/file/pub1067.pdf,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:55:04.703001,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
