LMS Information Security Asssessment Tool Report for Unit Coordinators

Unit Coordinator,Muhamad Syafiq
Module code,"POL298 POL298 International Political Economy TMA, 2025"
Course Page URL,http://10.51.33.25/moodle/course/view.php?id=4

Link URL,Link Location,Risk Score,Risk Category,Detected on,Action to be taken
https://www.chathamhouse.org/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:14:29.923431,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
https://www.web.isanet.org/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:14:31.681744,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
https://www.vitalsource.com/en-au/products/global-political-economy-erin-/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:14:33.901750,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
https://theconversation.com/au/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:14:34.602724,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
https://www.unctad.org/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:14:38.838387,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
http://www.ony.unu.edu/events-forums/new/ET/2009/emerging-thinking-series-expla.php,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:14:39.146794,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
http://www.ony.unu.edu/events-forums/new/ET/2009/emerging-thinking-/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:14:39.163564,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
http://www.garnautreview.org.au/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:15:08.105571,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
http://www.web.isanet.org/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:15:10.365871,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
http://comment.rsablogs.org.uk/2010/06/28/rsa-animate-crisis-capitalism/,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:14:38.857374,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
http://cse.375digital.co.uk/downloads/file/pub1067.pdf,Document scan,-1.0,SITE UNREACHABLE,2025-07-25T01:14:43.106329,This is an unreachable domain or broken link. Please rectify it immediately to maintain content availability.
