Module ID,URL Link,LMS Location,Risk Score,Risk Category,Local URL,Scraped ID,Scraped At
1,https://www.ft.com/content/2379dfdb-b62b-47de-98d5-dc49be50e661,http://10.51.33.25/moodle/mod/url/view.php?id=25,-1.0,PAYWALL,,6,2025-07-26T00:49:38.977304
1,https://www.wsj.com/finance/banking/goldman-sachs-greece-hotel-sell-34b5353a?mod=real-estate_lead_story,http://10.51.33.25/moodle/mod/url/view.php?id=26,-1.0,PAYWALL,,7,2025-07-26T00:49:39.636513
1,https://www.xvideos.com,http://10.51.33.25/moodle/mod/url/view.php?id=18,-85.0,NSFW_Pornographic domain detected: xvideos.com,,4,2025-07-26T00:49:24.515064
1,https://coinlab.biz/,http://10.51.33.25/moodle/course/view.php?id=2,-10.0,"Malicious (alphaMountain.ai), trackers, spyware and malware, Phishing and Other Frauds",,1,2025-07-26T00:48:54.285584
1,https://coinlab.biz/,http://10.51.33.25/moodle/course/section.php?id=5,-10.0,"Malicious (alphaMountain.ai), trackers, spyware and malware, Phishing and Other Frauds",,3,2025-07-26T00:49:22.649226
1,http://www.sfia-online.org/,Document Scan,-1.0,SITE UNREACHABLE,,15,2025-07-26T00:50:48.726943
1,https://student.unsw.edu.au/groupwork/,Document Scan,-1.0,EDUCATION DOMAIN,,17,2025-07-26T00:50:49.701226
1,https://www.gnu.org/software/pspp/,Document Scan,-1.0,SITE UNREACHABLE,,18,2025-07-26T00:50:50.238322
1,https://www.dlsweb.rmit.edu.au/lsu/content/2_assessmenttasks/assess_pdf/PG%20lit%20review.pdf,Document Scan,-1.0,EDUCATION DOMAIN,,19,2025-07-26T00:50:50.262859
1,https://emedia.rmit.edu.au/learninglab/content/writing-literature-review/,Document Scan,-1.0,EDUCATION DOMAIN,,20,2025-07-26T00:50:50.878066
1,http://en.wikipedia.org/wiki/Stakeholder_management/,Document Scan,-1.0,SITE UNREACHABLE,,28,2025-07-26T00:50:56.893644
